SKU,Thickness,Dimension,Width in Inches,Length in Inches,Width in mm,Length in mm,Weight (kg),is_round
MRC-MR-0001,1mm,12.2 x 24.5 Inch,12.2,24.5,310,622,0.917,
MRC-MR-0002,1mm,17.2 x 29.5 Inch,17.2,29.5,437,749,1.088,
MRC-MR-0003,1mm,17.2 x 32.5 Inch,17.2,32.5,437,826,1.131,
MRC-MR-0004,1mm,18.3 x 18.3 Inch,18.3,18.3,465,465,0.947,
MRC-MR-0005,1mm,18.2 x 35.7 Inch,18.2,35.7,462,907,1.553,
MRC-MR-0006,1mm,18.2 x 36.7 Inch,18.2,36.7,462,932,1.568,
MRC-MR-0007,1mm,18.2 x 37.7 Inch,18.2,37.7,462,958,1.584,
MRC-MR-0008,1mm,18.2 x 42.7 Inch,18.2,42.7,462,1085,1.659,
MRC-MR-0009,1mm,19.2 x 66.8 Inch,19.2,66.8,488,1697,1.727,
MRC-MR-0010,1mm,21.2 x 34.7 Inch,21.2,34.7,538,881,1.624,
MRC-MR-0011,1mm,23 Inch Round Dia,23.0,23.0,584,584,,yes
MRC-MR-0012,1mm,23.7 x 35.7 Inch,23.7,35.7,602,907,1.715,
MRC-MR-0013,1mm,24 Inch Round Dia,24.0,24.0,610,610,,yes
MRC-MR-0014,1mm,24.2 x 36.7 Inch,24.2,36.7,615,932,1.75,
MRC-MR-0015,1mm,24.2 x 48.7 Inch,24.2,48.7,615,1237,1.641,
MRC-MR-0016,1mm,27.8 x 52.2 Inch,27.8,52.2,706,1326,1.863,
MRC-MR-0017,1mm,27.7 x 47.9Inch,27.7,47.9,704,1217,1.768,
MRC-MR-0018,1mm,28.5 x 28.5 Inch,28.5,28.5,724,724,1.683,
MRC-MR-0019,1mm,28.2 x 44.7 Inch,28.2,44.7,716,1135,1.708,
MRC-MR-0020,1mm,28.2 x 60.75 Inch,28.2,60.75,716,1543,2.084,
MRC-MR-0021,1mm,30.5 x 30.5 Inch,30.5,30.5,775,775,1.78,
MRC-MR-0022,1mm,30.2 x 36.7 Inch,30.2,36.7,767,932,1.581,
MRC-MR-0023,1mm,30.2 x 45.7 Inch,30.2,45.7,767,1161,1.807,
MRC-MR-0024,1mm,30.2 x 46.7 Inch,30.2,46.7,767,1186,2.832,
MRC-MR-0025,1mm,30.2 x 47.7 Inch,30.2,47.7,767,1212,1.858,
MRC-MR-0026,1mm,30.2 x 48.7 Inch,30.2,48.7,767,1237,2.883,
MRC-MR-0027,1mm,30.2 x 49.7 Inch,30.2,49.7,767,1262,1.908,
MRC-MR-0028,1mm,30.2 x 50.7 Inch,30.2,50.7,767,1288,1.933,
MRC-MR-0029,1mm,30.2 x 51.7 Inch,30.2,51.7,767,1313,1.958,
MRC-MR-0030,1mm,30.2 x 52.7 Inch,30.2,52.7,767,1339,1.983,
MRC-MR-0031,1mm,30.2 x 53.7 Inch,30.2,53.7,767,1364,2.009,
MRC-MR-0032,1mm,30.2 x 54.7 Inch,30.2,54.7,767,1389,2.034,
MRC-MR-0033,1mm,30.2 x 55.75 Inch,30.2,55.75,767,1416,2.059,
MRC-MR-0034,1mm,30.2 x 56.75 Inch,30.2,56.75,767,1441,2.084,
MRC-MR-0035,1mm,30.2 x 57.75 Inch,30.2,57.75,767,1467,2.109,
MRC-MR-0036,1mm,30.2 x 58.75 Inch,30.2,58.75,767,1492,2.134,
MRC-MR-0037,1mm,30.2 x 59.75 Inch,30.2,59.75,767,1518,2.16,
MRC-MR-0038,1mm,30.2 x 60.75 Inch,30.2,60.75,767,1543,2.185,
MRC-MR-0039,1mm,31 Inch Round Dia,31.0,31.0,787,787,,yes
MRC-MR-0040,1mm,31.2 x 45.7 Inch,31.2,45.7,792,1161,1.845,
MRC-MR-0041,1mm,31.2 x 46.7 Inch,31.2,46.7,792,1186,1.871,
MRC-MR-0042,1mm,31.2 x 47.7 Inch,31.2,47.7,792,1212,1.897,
MRC-MR-0043,1mm,31.2 x 48.7 Inch,31.2,48.7,792,1237,1.923,
MRC-MR-0044,1mm,31.2 x 49.7 Inch,31.2,49.7,792,1262,1.949,
MRC-MR-0045,1mm,31.2 x 50.75 Inch,31.2,50.75,792,1289,3.975,
MRC-MR-0046,1mm,31.2 x 51.75 Inch,31.2,51.75,792,1314,2.001,
MRC-MR-0047,1mm,31.2 x 52.75 Inch,31.2,52.75,792,1340,2.027,
MRC-MR-0048,1mm,31.2 x 53.75 Inch,31.2,53.75,792,1365,2.053,
MRC-MR-0049,1mm,31.2 x 54.75 Inch,31.2,54.75,792,1391,2.079,
MRC-MR-0050,1mm,31.2 x 55.75 Inch,31.2,55.75,792,1416,2.105,
MRC-MR-0051,1mm,31.2 x 56.75 Inch,31.2,56.75,792,1441,2.131,
MRC-MR-0052,1mm,31.2 x 57.75 Inch,31.2,57.75,792,1467,2.157,
MRC-MR-0053,1mm,31.2 x 58.75 Inch,31.2,58.75,792,1492,2.183,
MRC-MR-0054,1mm,31.2 x 59.75 Inch,31.2,59.75,792,1518,2.559,
MRC-MR-0055,1mm,31.2 x 60.75 Inch,31.2,60.75,792,1543,2.585,
MRC-MR-0056,1mm,31.7 x 55.75 Inch,31.7,55.75,805,1416,2.128,
MRC-MR-0057,1mm,32.2 x 45.7 Inch,32.2,45.7,818,1161,1.883,
MRC-MR-0058,1mm,32.2 x 46.7 Inch,32.2,46.7,818,1186,1.91,
MRC-MR-0059,1mm,32.2 x 47.7 Inch,32.2,47.7,818,1212,1.936,
MRC-MR-0060,1mm,32.2 x 48.7 Inch,32.2,48.7,818,1237,1.963,
MRC-MR-0061,1mm,32.2 x 49.7 Inch,32.2,49.7,818,1262,1.99,
MRC-MR-0062,1mm,32.2 x 50.7 Inch,32.2,50.7,818,1288,2.017,
MRC-MR-0063,1mm,32.2 x 51.75 Inch,32.2,51.75,818,1314,2.044,
MRC-MR-0064,1mm,32.2 x 52.75 Inch,32.2,52.75,818,1340,2.071,
MRC-MR-0065,1mm,32.2 x 53.75 Inch,32.2,53.75,818,1365,2.097,
MRC-MR-0066,1mm,32.2 x 54.75 Inch,32.2,54.75,818,1391,2.124,
MRC-MR-0067,1mm,32.2 x 55.75 Inch,32.2,55.75,818,1416,2.151,
MRC-MR-0068,1mm,32.2 x 56.75 Inch,32.2,56.75,818,1441,2.178,
MRC-MR-0069,1mm,32.2 x 57.75 Inch,32.2,57.75,818,1467,2.555,
MRC-MR-0070,1mm,32.2 x 58.75 Inch,32.2,58.75,818,1492,2.582,
MRC-MR-0071,1mm,32.2 x 59.75 Inch,32.2,59.75,818,1518,2.608,
MRC-MR-0072,1mm,32.2 x 60.75 Inch,32.2,60.75,818,1543,2.635,
MRC-MR-0073,1mm,33.2 x 45.7 Inch,33.2,45.7,843,1161,1.92,
MRC-MR-0074,1mm,33.2 x 46.7 Inch,33.2,46.7,843,1186,1.948,
MRC-MR-0075,1mm,33.2 x 47.7 Inch,33.2,47.7,843,1212,1.976,
MRC-MR-0076,1mm,33.2 x 48.7 Inch,33.2,48.7,843,1237,2.004,
MRC-MR-0077,1mm,33.2 x 49.7 Inch,33.2,49.7,843,1262,2.031,
MRC-MR-0078,1mm,33.2 x 50.7 Inch,33.2,50.7,843,1288,2.059,
MRC-MR-0079,1mm,33.2 x 51.75 Inch,33.2,51.75,843,1314,2.087,
MRC-MR-0080,1mm,33.2 x 52.75 Inch,33.2,52.75,843,1340,2.114,
MRC-MR-0081,1mm,33.2 x 53.75 Inch,33.2,53.75,843,1365,2.142,
MRC-MR-0082,1mm,33.2 x 54.75 Inch,33.2,54.75,843,1391,2.17,
MRC-MR-0083,1mm,33.5 x 55.75 Inch,33.5,55.75,851,1416,2.197,
MRC-MR-0084,1mm,33.2 x 56.75 Inch,33.2,56.75,843,1441,2.575,
MRC-MR-0085,1mm,33.2 x 57.75 Inch,33.2,57.75,843,1467,2.603,
MRC-MR-0086,1mm,33.2 x 58.75 Inch,33.2,58.75,843,1492,2.63,
MRC-MR-0087,1mm,33.2 x 59.75 Inch,33.2,59.75,843,1518,2.658,
MRC-MR-0088,1mm,33.2 x 60.75 Inch,33.2,60.75,843,1543,2.686,
MRC-MR-0091,1mm,34.2 x 45.7 Inch,34.2,45.7,869,1161,1.958,
MRC-MR-0092,1mm,34.2 x 46.7 Inch,34.2,46.7,869,1186,1.987,
MRC-MR-0093,1mm,34.2 x 47.7 Inch,34.2,47.7,869,1212,2.015,
MRC-MR-0094,1mm,34.2 x 48.7 Inch,34.2,48.7,869,1237,2.044,
MRC-MR-0095,1mm,34.2 x 49.7 Inch,34.2,49.7,869,1262,2.072,
MRC-MR-0096,1mm,34.2 x 50.7 Inch,34.2,50.7,869,1288,2.101,
MRC-MR-0097,1mm,34.2 x 51.75 Inch,34.2,51.75,869,1314,2.129,
MRC-MR-0098,1mm,34.2 x 52.75 Inch,34.2,52.75,869,1340,2.158,
MRC-MR-0099,1mm,34.2 x 53.75 Inch,34.2,53.75,869,1365,2.686,
MRC-MR-0100,1mm,34.2 x 54.57 Inch,34.2,54.57,869,1386,2.565,
MRC-MR-0101,1mm,34.2 x 55.75 Inch,34.2,55.75,869,1416,2.593,
MRC-MR-0102,1mm,34.2 x 56.75 Inch,34.2,56.75,869,1441,2.622,
MRC-MR-0103,1mm,34.2 x 57.75 Inch,34.2,57.75,869,1467,2.65,
MRC-MR-0104,1mm,34.2 x 58.75 Inch,34.2,58.75,869,1492,2.679,
MRC-MR-0105,1mm,34.2 x 59.75 Inch,34.2,59.75,869,1518,2.707,
MRC-MR-0106,1mm,34.2 x 60.75 Inch,34.2,60.75,869,1543,3.736,
MRC-MR-0107,1mm,35 Inch Round Dia,35.0,35.0,889,889,,yes
MRC-MR-0108,1mm,35.5 x 35.5 Inch,35.5,35.5,902,902,2.702,
MRC-MR-0109,1mm,35.2 x 45.7 Inch,35.2,45.7,894,1161,1.996,
MRC-MR-0110,1mm,35.2 x 46.7 Inch,35.2,46.7,894,1186,2.025,
MRC-MR-0111,1mm,35.2 x 47.7 Inch,35.2,47.7,894,1212,2.055,
MRC-MR-0112,1mm,35.2 x 48.7 Inch,35.2,48.7,894,1237,2.084,
MRC-MR-0113,1mm,35.2 x 49.7 Inch,35.2,49.7,894,1262,2.113,
MRC-MR-0114,1mm,35.2 x 50.7 Inch,35.2,50.7,894,1288,2.143,
MRC-MR-0115,1mm,35.2 x 51.75 Inch,35.2,51.75,894,1314,2.172,
MRC-MR-0116,1mm,35.2 x 52.75 Inch,35.2,52.75,894,1340,2.551,
MRC-MR-0117,1mm,35.2 x 53.75 Inch,35.2,53.75,894,1365,2.581,
MRC-MR-0118,1mm,35.2 x 54.75 Inch,35.2,54.75,894,1391,2.61,
MRC-MR-0119,1mm,35.2 x 55.75 Inch,35.2,55.75,894,1416,2.64,
MRC-MR-0120,1mm,35.2 x 56.7 Inch,35.2,56.7,894,1440,2.669,
MRC-MR-0121,1mm,35.2 x 57.75 Inch,35.2,57.75,894,1467,2.698,
MRC-MR-0122,1mm,35.2 x 58.75 Inch,35.2,58.75,894,1492,2.728,
MRC-MR-0123,1mm,35.2 x 59.75 Inch,35.2,59.75,894,1518,3.757,
MRC-MR-0124,1mm,35.2 x 60.75 Inch,35.2,60.75,894,1543,3.786,
MRC-MR-0125,1mm,35.2 x 68.8 Inch,35.2,68.8,894,1748,2.671,
MRC-MR-0127,1mm,36.2 x 45.7 Inch,36.2,45.7,919,1161,2.034,
MRC-MR-0128,1mm,36.2 x 46.7 Inch,36.2,46.7,919,1186,2.064,
MRC-MR-0129,1mm,36.2 x 47.7 Inch,36.2,47.7,919,1212,2.094,
MRC-MR-0130,1mm,36.2 x 48.7Inch,36.2,48.7,919,1237,2.724,
MRC-MR-0131,1mm,36.2 x 49.7 Inch,36.2,49.7,919,1262,2.154,
MRC-MR-0132,1mm,36.2 x 50.7 Inch,36.2,50.7,919,1288,2.185,
MRC-MR-0133,1mm,36.2 x 51.75 Inch,36.2,51.75,919,1314,2.565,
MRC-MR-0134,1mm,36.2 x 52.75 Inch,36.2,52.75,919,1340,2.595,
MRC-MR-0135,1mm,36.2 x 53.75 Inch,36.2,53.75,919,1365,2.625,
MRC-MR-0136,1mm,36.2 x 54.75 Inch,36.2,54.75,919,1391,2.655,
